time,rate
1203251,78
1208031,78
1208326,77
1209257,77
1213958,77
1214346,77
1215359,77
1219898,76
1220364,77
1221368,77
1225853,77
1226426,77
1231791,80
1232488,81
1233489,81
1237739,81
1238393,80
1243664,81
1244643,81
1249584,81
1249604,81
1250606,81
1251643,80
1255802,77
1256728,74
1261478,73
1261721,73
1262690,72
1263814,72
1267897,69
1268891,70
1273851,73
1274826,73
1279789,75
1279859,75
1280827,75
1281955,74
1285833,74
1286898,74
1291688,70
1291891,69
1292823,69
1297664,68
1297880,69
1298945,70
1299983,72
1300917,72
1302057,73
1303044,74
1304088,74
1307976,77
1308077,77
1309058,77
1310110,77
1311178,77
1311988,76
1316378,77
1316484,77
1317501,78
1322473,80
1322702,80
1323860,79
1328293,80
1328954,81
1329952,81
1334265,79
1334942,79
1340194,76
1340997,76
1346111,75
1346911,75
1347875,75
1352084,71
1352914,69
1358011,52
1358012,52
1359066,53
1359975,54
1360988,55
1364828,58
1365056,59
1366060,60
1370374,64
1371092,64
1372123,65
1373161,66
1377101,68
1377152,69
1378154,69
1382754,73
1383114,73
1384093,72
1388693,68
1389109,69
1390144,70
1391051,70
1394742,69
1395137,68
1396122,65
1400565,69
1400733,71
1401723,72
1406508,74
1406811,74
1407929,74
1408876,74
1413629,75
1414067,75
1415133,75
1419407,74
1420179,72
1421174,72
1425324,71
1426280,71
1431278,74
1431307,75
1432242,74
1433283,74
1434325,71
1438020,63
1438360,61
1439328,61
1443639,57
1444386,56
1449572,58
1450381,59
1451412,60
1452461,62
1456730,66
1457523,66
1462615,66
1462967,67
1464003,68
1468408,69
1469166,69
1474322,70
1475312,70
1480278,70
1480326,70
1481356,70
1482360,71
1486241,70
1486360,71
1487329,71
1491556,70
1492412,69
1493434,69
1494506,70
1498238,70
1498527,70
1499624,70
1504037,71
1504882,72
1509962,75
1510922,75
1511883,75
1515954,77
1515965,77
1516943,76
1521856,75
1521976,74
1523013,74
1527773,75
1528007,75
1528941,75
1529911,75
1533742,74
1534026,74
1535063,74
1539670,71
1540084,71
1541153,71
1545610,71
1546150,71
1547156,71
1551551,70
1552325,70
1553596,71
1557657,74
1557798,74
1558644,75
1559675,75
1563559,74
1563783,74
1564719,73
1569360,68
1569713,68
1570783,67
1575304,67
1575805,67
1576742,66
1581252,63
1581707,64
1582738,64
1587255,63
1587715,58
1588670,58
1593122,61
1593731,63
1594735,64
1599068,66
1599861,66
1604552,67
1605014,69
1605953,69
1606939,72
1607951,73
1608959,74
1609998,73
1611117,73
1612279,73
1616436,73
1617194,73
1622434,73
1623541,74
1627647,74
1628600,74
1629732,73
1630623,74
1631654,74
1633100,75
1634240,76
1635554,74
1636699,74
1637769,75
1638841,76
1642706,76
1642872,76
1643913,77
1644894,76
1645873,75
1647164,74
1648500,74
1649441,74
1650421,74
1655036,74
1655844,74
1660940,74
1661037,74
1662045,74
1666880,71
1667300,71
1668238,71
1669260,70
1670287,69
1671286,68
1675827,70
1676441,71
1681727,73
1682627,74
1683661,75
1687725,75
1687800,75
1688885,75
1693619,79
1694206,79
1699565,81
1700158,80
1701165,81
1705508,77
1706099,76
1711437,80
1712125,80
1717500,81
1718162,82
1719127,82
1723324,85
1723415,86
1724286,86
1729244,87
1729486,87
1730399,87
1731369,87
1732339,86
1736098,86
1736500,86
1737460,85
1742144,82
1742590,82
1743560,82
1748058,81
1748511,80
1749584,80
1754008,80
1754557,79
1759932,79
1760716,79
